Predicted Label,label,flare,timestamp,NOAA,HARP,TOTUSJH,SAVNCPP,ABSNJZH,TOTPOT,TOTUSJZ,TOTBSQ,USFLUX,Cdec,Chis1d,Chis,Edec,Mhis,Xmax1d,Mdec,AREA_ACR,MEANPOT,Mhis1d,SHRGT45,TOTFX,MEANSHR
Negative,Negative,N,2017-08-31T20:58:42.50Z,12673,7115,-0.53497266525103,-0.509480380725842,-0.42622954938984,-0.576910279322075,-0.190527779108351,-0.168697966375907,-0.614279841721403,0,0,0,0,0,0,0,2.98257936215447,0.68338198338857,0,1.92562437835113,0.556848874107672,1.47717623572339
Negative,Negative,N,2017-08-31T21:58:42.50Z,12673,7115,-0.539113853643921,-0.508211190865077,-0.409610389168275,-0.567496066949494,-0.180347070247445,-0.164989911062425,-0.613735503284354,0,0,0,0,0,0,0,2.76976068358354,0.822377724256735,0,1.98055307556781,0.547966826475734,1.4428291510987
Negative,Negative,N,2017-08-31T22:58:42.50Z,12673,7115,-0.531721937063978,-0.504373757145329,-0.431620263880677,-0.559614465233694,-0.208530731456979,-0.161877075040044,-0.617458146830675,0,0,0,0,0,0,0,2.609291630768,0.796788550205692,0,1.95624979548389,0.525024394561578,1.23346505719864
Negative,Negative,N,2017-08-31T23:58:42.60Z,12673,7115,-0.523850388503063,-0.506399840976471,-0.430852360397334,-0.563591297326727,-0.207536806763995,-0.173108923389404,-0.614237716299233,0,0,0,0,0,0,0,2.60162864269314,0.848548470445301,0,1.89926845636824,0.514496253160015,1.27720483801198
Negative,Negative,N,2017-09-01T00:58:42.60Z,12673,7115,-0.531186464353412,-0.510878957861635,-0.344150513395671,-0.570080820468074,-0.181217456278025,-0.170768498346866,-0.620861882587162,0,0,0,0,0,0,0,2.7347412767925,0.860761485333299,0,1.9612582417174,0.514907776602421,1.45041773293504
Negative,Negative,N,2017-09-01T01:58:42.60Z,12673,7115,-0.535055429189535,-0.509715120042382,-0.35538364502487,-0.564913777105112,-0.175388677570016,-0.173591969315228,-0.620283090309415,0,0,0,0,0,0,0,2.59831815207394,0.778759813942457,0,1.98006044151205,0.506883069475497,1.4437057108604
Negative,Negative,N,2017-09-01T02:58:42.70Z,12673,7115,-0.53711355893741,-0.508818476301092,-0.377313799579574,-0.570668304110991,-0.179527222760577,-0.172501404240204,-0.61888484546277,0,0,0,0,0,0,0,2.58593871200245,0.785738679592741,0,2.02308381571465,0.498172489944562,1.41330314516335
Negative,Negative,N,2017-09-01T03:58:42.70Z,12673,7115,-0.542279823580696,-0.512736938981729,-0.385636284624804,-0.573312031830663,-0.195480556392034,-0.180127483834439,-0.622379722173654,0,0,0,0,0,0,0,2.68055941413567,0.760149505541699,0,1.98309835152254,0.516005172448838,1.39563550430608
Negative,Negative,N,2017-09-01T04:58:42.70Z,12673,7115,-0.540123972556032,-0.517122073786145,-0.392683217205025,-0.577053685690964,-0.184041999332098,-0.18510902690824,-0.622722049427835,0,0,0,0,0,0,0,2.86677949714421,0.75724164485408,0,1.93580548217006,0.4941944300013,1.54805491318394
Negative,Negative,N,2017-09-01T05:58:42.70Z,12673,7115,-0.533188753371694,-0.520373378832312,-0.415716054992638,-0.567306364036318,-0.181666687777678,-0.183374378255717,-0.620931658935729,0,0,0,0,0,0,0,2.82977828309244,0.744447057828559,0,2.0298164811433,0.441313667652079,1.53958425863141
Negative,Negative,N,2017-09-01T08:46:42.70Z,12673,7115,-0.543612023843856,-0.524455122784939,-0.392329619006965,-0.5692833599264,-0.185715386668309,-0.184366477436751,-0.617359725853115,0,0,0,0,0,0,0,2.71265222756305,0.785738679592741,0,2.0611808493597,0.425024198056826,1.47859857797823
Negative,Negative,N,2017-09-01T08:58:42.70Z,12673,7115,-0.540132946959002,-0.524924025723803,-0.453984170947866,-0.561961474192253,-0.192380859044423,-0.184769054808638,-0.614141091883321,0,0,0,0,0,0,0,2.72765413460095,0.766546799054459,0,2.05551555771852,0.496629277035538,1.44941988817487
Negative,Negative,N,2017-09-01T09:58:42.60Z,12673,7115,-0.546108902181395,-0.53038887503017,-0.461917741390904,-0.578287421871708,-0.221412444709553,-0.191994165731774,-0.620108656018811,0,0,0,0,0,0,0,2.79804194568806,0.775851953254839,0,2.10174105328352,0.450538651486022,1.34081881971164
Negative,Negative,N,2017-09-01T10:58:42.60Z,12673,7115,-0.540860870755489,-0.5293473722318,-0.440227196436942,-0.568583214515511,-0.186243233680402,-0.192770564948984,-0.619384034594582,0,0,0,0,0,0,0,2.65774744150293,0.75724164485408,0,2.08113252861777,0.458597652233147,1.49463024959471
Negative,Negative,N,2017-09-01T11:58:42.60Z,12673,7115,-0.53660600659164,-0.528535643387357,-0.460468361554808,-0.566492171040722,-0.181307302577955,-0.193203104373024,-0.622998506045312,0,0,0,0,0,0,0,2.71297878951419,0.74153919714094,0,2.03137648898652,0.449509842880006,1.54535080901341
